ds_name,qid,split,query_length,stopword_ratio,has_question_word,average_idf,max_idf,rare_term_ratio,cross_entropy,top_dense_score,top_sparse_score,dense_confidence,sparse_confidence,overlap_at_k,first_shared_doc_rank,spearman_topk,dense_entropy_topk,sparse_entropy_topk,oracle_alpha
scifact,1,train,5.0,0.0,0.0,6.0967512211347366,9.55333223803211,0.2,15.005345459384827,0.999999854945314,0.9999999981396838,0.20020436084609283,0.25724817007231937,0.0,11.0,0.0,3.2722152337633856,3.212020518428964,0.0
scifact,100,train,8.0,0.25,0.0,4.825249529680775,8.860185057472165,0.16666666666666666,12.368073007824355,0.999999902464634,0.9999999995287965,0.034209317430120345,0.6133636909654848,0.2,2.0,-1.0,3.284863861310578,3.1414197853198105,0.14
scifact,1012,dev,9.0,0.1111111111111111,0.0,6.536561181767059,8.454719949364002,0.0,14.866630170477327,0.9999999719811214,0.9999999998180552,0.3203986065135054,0.4348123223966619,0.5,1.0,0.5,3.021977576647913,2.9051401409956057,0.0
scifact,1014,test,9.0,0.3333333333333333,0.0,6.176406828230547,8.860185057472165,0.16666666666666666,14.813922323573296,0.9999999172440424,0.9999999991549462,0.3911366057016221,0.006013323266940818,0.2,1.0,1.0,3.2603129697244113,3.2162043067395136,0.0
scifact,1019,train,9.0,0.1111111111111111,0.0,4.582082931619619,7.94389432559801,0.25,12.474295498510115,0.9999999418380325,0.9999999994697526,0.4392432164217369,0.3070784623033589,0.3,1.0,1.0,3.1894580133941797,3.0270034157607584,0.0
scifact,1020,train,22.0,0.2727272727272727,0.0,4.554801124386639,8.454719949364002,0.1875,12.197060253270964,0.9999999400354165,0.9999999994252804,0.24772270405783392,0.0647989910768565,0.3,1.0,1.0,3.1760866323535564,3.1978776455955704,0.0
scifact,1021,train,22.0,0.2727272727272727,0.0,4.596960558193792,8.454719949364002,0.1875,12.276601697460437,0.9999999430714263,0.9999999993901874,0.30995185309810314,0.017113064420184787,0.3,1.0,1.0,3.1647452286122753,3.2148235072934184,0.0
scifact,1024,train,11.0,0.09090909090909091,0.0,5.091803584893838,8.16703787691222,0.3,13.097114276877642,0.9999998612355916,0.9999999995068507,0.09524142980947714,0.3247690203781446,0.3,1.5,-0.5,3.303061961417515,3.1064266838847177,0.26
scifact,1029,train,21.0,0.38095238095238093,0.0,3.731807635185786,7.761572768804055,0.07692307692307693,11.03199682279586,0.9999999313501154,0.999999999507393,0.10114076054905952,0.09001392308398892,0.2,1.0,1.0,3.2736657286528095,3.256537593249815,0.0
scifact,1041,train,15.0,0.26666666666666666,0.0,5.319672648557629,8.454719949364002,0.18181818181818182,13.27966020924095,0.9999999542628105,0.9999999996642704,0.08849679190941717,0.011569993054145744,0.7,1.5,0.3214285714285714,3.297467402364183,3.2805795138179716,0.8200000000000001
