ds_name,qid,split,alpha_weak,alpha_strong,alpha_gt
scifact,1,traindev,0.3894503712654114,0.056226946413517,0.0
scifact,100,traindev,0.1208580881357193,0.035466376692056656,0.14000000059604645
scifact,1019,traindev,0.10258975625038147,0.17184190452098846,0.0
scifact,1020,traindev,0.08549734950065613,0.03958401829004288,0.0
scifact,1021,traindev,0.15252238512039185,0.04641401022672653,0.0
scifact,1024,traindev,0.2678264081478119,0.0530652180314064,0.25999999046325684
scifact,1029,traindev,0.11310623586177826,0.01989605464041233,0.0
scifact,1041,traindev,0.4469265341758728,0.22060227394104004,0.8199999928474426
scifact,1049,traindev,0.118089959025383,0.11404840648174286,0.0
scifact,1062,traindev,0.30119895935058594,0.07204768806695938,0.0
scifact,1086,traindev,0.02585526369512081,0.06268416345119476,0.0
scifact,1088,traindev,0.07612703740596771,0.03564273938536644,0.0
scifact,1089,traindev,0.13584482669830322,0.059792742133140564,0.0
scifact,1099,traindev,0.5949066281318665,0.10101078450679779,0.0
scifact,1100,traindev,0.55184006690979,0.041048724204301834,0.0
scifact,1110,traindev,0.11083271354436874,0.08895861357450485,0.0
scifact,1121,traindev,0.47168728709220886,0.05314028635621071,0.1899999976158142
scifact,113,traindev,0.19304269552230835,0.052922435104846954,0.0
scifact,1130,traindev,0.08074934035539627,0.033071283251047134,0.0
scifact,1132,traindev,0.22762413322925568,0.04502163082361221,0.0
scifact,1137,traindev,0.10259085893630981,0.051633112132549286,0.0
scifact,1140,traindev,0.19194303452968597,0.09894613921642303,0.05000000074505806
scifact,1144,traindev,0.05434969812631607,0.09668650478124619,0.0
scifact,1146,traindev,0.16031169891357422,0.05590895190834999,0.0
scifact,115,traindev,0.02638237178325653,0.05246180295944214,0.0
scifact,1150,traindev,0.055449116975069046,0.03133833780884743,0.0
scifact,1163,traindev,0.2659880518913269,0.053449083119630814,0.0
scifact,1179,traindev,0.13970354199409485,0.08089347928762436,0.0
scifact,118,traindev,0.17778132855892181,0.10170494019985199,0.0
scifact,1180,traindev,0.18695932626724243,0.1443171203136444,0.0
scifact,1185,traindev,0.08018577098846436,0.0458173006772995,0.0
scifact,1187,traindev,0.11801780760288239,0.041312385350465775,0.5
scifact,1194,traindev,0.08575353771448135,0.052319467067718506,0.0
scifact,1196,traindev,0.08108974248170853,0.03789742290973663,0.0
scifact,1202,traindev,0.1333116590976715,0.04161861538887024,0.0
scifact,1207,traindev,0.16019165515899658,0.06165716424584389,0.0
scifact,1213,traindev,0.1372188925743103,0.08631175756454468,0.0
scifact,1216,traindev,0.06947101652622223,0.08807862550020218,0.0
scifact,1221,traindev,0.040071554481983185,0.0566234290599823,0.0
scifact,1225,traindev,0.13377343118190765,0.11508790403604507,0.0
scifact,1226,traindev,0.11126232147216797,0.04867655038833618,0.0
scifact,1232,traindev,0.07502643018960953,0.08769650757312775,0.0
scifact,124,traindev,0.24089506268501282,0.10993342101573944,0.0
scifact,1245,traindev,0.1191330999135971,0.053622107952833176,0.0
scifact,1262,traindev,0.15080800652503967,0.102955162525177,0.0
scifact,1266,traindev,0.3040851354598999,0.14150677621364594,0.27000001072883606
scifact,1270,traindev,0.10751170665025711,0.07632444053888321,0.0
scifact,1273,traindev,0.014277094975113869,0.08224552869796753,0.0
scifact,1274,traindev,0.476997435092926,0.061962176114320755,0.4099999964237213
scifact,1279,traindev,0.3333730697631836,0.017684252932667732,0.07999999821186066
scifact,128,traindev,0.1658964902162552,0.06708072125911713,0.0
scifact,1280,traindev,0.1623489260673523,0.09554409235715866,0.0
scifact,1290,traindev,0.09922773391008377,0.04900490120053291,0.0
scifact,1292,traindev,0.09860292077064514,0.06839577108621597,0.0
scifact,1298,traindev,0.04298019781708717,0.034598395228385925,0.0
scifact,13,traindev,0.28320154547691345,0.02083926647901535,0.0
scifact,1303,traindev,0.09771516174077988,0.11014983803033829,0.0
scifact,1319,traindev,0.1371687352657318,0.07736343145370483,0.0
